#Wvlngth	Flux
1039.6939640	9.42893625377
1039.7321316	9.42844161338
1039.7703005	9.42795095836
1039.8084709	9.42746428207
1039.8466427	9.42698157785
1039.8848159	9.42650283905
1039.9229905	9.42602805903
1039.9611664	9.42555723112
1039.9993438	9.42509034866
1040.0375226	9.424627405
1040.0757028	9.42416839348
1040.1138844	9.42371330743
1040.1520674	9.4232621402
1040.1902518	9.42281488511
1040.2284376	9.4223715355
1040.2666248	9.42193208471
1040.3048134	9.42149652606
1040.3430034	9.42106485288
1040.3811948	9.4206370585
1040.4193876	9.42021313625
1040.4575818	9.41979307945
1040.4957774	9.41937688142
1040.5339744	9.41896453549
1040.5721729	9.41855603498
1040.6103727	9.41815137319
1040.6485739	9.41775054346
1040.6867765	9.4173535391
1040.7249805	9.41696035341
1040.7631860	9.41657097971
1040.8013928	9.41618541132
1040.8396010	9.41580364154
1040.8778107	9.41542566368
1040.9160217	9.41505147104
1040.9542341	9.41468105693
1040.9924480	9.41431441466
1041.0306632	9.41395153752
1041.0688799	9.41359241882
1041.1070979	9.41323705185
1041.1453174	9.41288542991
1041.1835382	9.4125375463
1041.2217605	9.4121933943
1041.2599842	9.41185296722
1041.2982092	9.41151625834
1041.3364357	9.41118326095
1041.3746636	9.41085396834
1041.4128929	9.4105283738
1041.4511235	9.41020647061
1041.4893556	9.40988825206
1041.5275891	9.40957371141
1041.5658240	9.40926284197
1041.6040603	9.408955637
1041.6422980	9.40865208978
1041.6805371	9.40835219358
1041.7187776	9.40805594169
1041.7570195	9.40776332737
1041.7952628	9.4074743439
1041.8335075	9.40718898453
1041.8717537	9.40690724255
1041.9100012	9.40662911122
1041.9482501	9.4063545838
1041.9865004	9.40608365355
1042.0247522	9.40581631374
1042.0630053	9.40555255763
1042.1012599	9.40529237847
1042.1395158	9.40503576953
1042.1777732	9.40478272405
1042.2160319	9.4045332353
1042.2542921	9.40428729652
1042.2925537	9.40404490097
1042.3308166	9.40380604189
1042.3690810	9.40357071254
1042.4073468	9.40333890615
1042.4456140	9.40311061598
1042.4838826	9.40288583526
1042.5221526	9.40266455725
1042.5604240	9.40244677517
1042.5986968	9.40223248227
1042.6369710	9.40202167178
1042.6752466	9.40181433694
1042.7135236	9.40161047099
1042.7518021	9.40141006715
1042.7900819	9.40121311866
1042.8283631	9.40101961875
1042.8666458	9.40082956064
1042.9049298	9.40064293756
1042.9432153	9.40045974274
1042.9815021	9.40027996939
1043.0197904	9.40010361075
1043.0580801	9.39993066002
1043.0963712	9.39976111043
1043.1346636	9.3995949552
1043.1729575	9.39943218754
1043.2112528	9.39927280066
1043.2495495	9.39911678778
1043.2878476	9.39896414211
1043.3261471	9.39881485685
1043.3644481	9.39866892522
1043.4027504	9.39852634042
1043.4410541	9.39838709566
1043.4793592	9.39825118413
1043.5176658	9.39811859905
1043.5559737	9.3979893336
1043.5942831	9.39786338099
1043.6325938	9.39774073442
1043.6709060	9.39762138708
